Ano;Unidade Geográfica;Localização;Dependência Administrativa;Taxa de Promoção Total - Ensino Médio;Taxa de Repetência Total - Ensino Médio;Taxa de Evasão Total - Ensino Médio
2016/2017;Maranhão;Total;Privada;86,6;5,2;7,2
2016/2017;Maranhão;Total;Pública;75,3;11,7;11,5
2016/2017;Piauí;Total;Total;76,8;9,7;10
2016/2017;Piauí;Urbana;Total;77,2;9,6;9,7
2016/2017;Piauí;Rural;Total;70,3;11,1;15,2
2016/2017;Piauí;Total;Privada;90,1;4,6;4,3
2016/2017;Piauí;Total;Pública;75,1;10,3;10,7
2016/2017;Ceará;Total;Total;81,4;6,4;10,4
2016/2017;Ceará;Urbana;Total;81,3;6,4;10,4
2016/2017;Ceará;Rural;Total;82,6;5,8;9,6
2016/2017;Ceará;Total;Privada;93,2;3,1;2,9
2016/2017;Ceará;Total;Pública;80,1;6,8;11,2
2016/2017;Rio Grande do Norte;Total;Total;70,6;14,7;11,8
2016/2017;Rio Grande do Norte;Urbana;Total;70,3;14,8;11,9
2016/2017;Rio Grande do Norte;Rural;Total;80,1;10,9;7,8
2016/2017;Rio Grande do Norte;Total;Privada;90,2;5,4;3,2
2016/2017;Rio Grande do Norte;Total;Pública;67,4;16,2;13,1
2016/2017;Paraíba;Total;Total;73,1;12,6;10,5
2016/2017;Paraíba;Urbana;Total;73,2;12,7;10,4
2016/2017;Paraíba;Rural;Total;70,8;12,4;12,7
2016/2017;Paraíba;Total;Privada;89,6;4;6,1
2016/2017;Paraíba;Total;Pública;70,1;14,3;11,3
2016/2017;Pernambuco;Total;Total;83,3;6,8;7,1
2016/2017;Pernambuco;Urbana;Total;83,6;6,7;7
2016/2017;Pernambuco;Rural;Total;79;9,1;8,7
2016/2017;Pernambuco;Total;Privada;92,1;3,6;4
2016/2017;Pernambuco;Total;Pública;82,2;7,3;7,5
2016/2017;Alagoas;Total;Total;71,9;11,7;12,8
2016/2017;Alagoas;Urbana;Total;71,8;11,8;12,7
2016/2017;Alagoas;Rural;Total;72,7;9,2;15,4
2016/2017;Alagoas;Total;Privada;89,4;4,8;5,4
2016/2017;Alagoas;Total;Pública;68,6;13;14,2
2016/2017;Sergipe;Total;Total;70,4;15,4;12,2
2016/2017;Sergipe;Urbana;Total;70,7;15,1;12,2
2016/2017;Sergipe;Rural;Total;63,4;22,5;13,6
2016/2017;Sergipe;Total;Privada;90,1;4,3;5,2
2016/2017;Sergipe;Total;Pública;66;17,9;13,8
2016/2017;Bahia;Total;Total;72,7;15,4;9,3
2016/2017;Bahia;Urbana;Total;72,5;15,6;9,3
2016/2017;Bahia;Rural;Total;76,8;12;9,5
2016/2017;Bahia;Total;Privada;90,3;5;4,6
2016/2017;Bahia;Total;Pública;71;16,4;9,7
2016/2017;Minas Gerais;Total;Total;77,6;10,9;7,8
2016/2017;Minas Gerais;Urbana;Total;77,4;11,1;7,8
2016/2017;Minas Gerais;Rural;Total;85,9;6,9;6,2
2016/2017;Minas Gerais;Total;Privada;92,2;3,9;3,4
2016/2017;Minas Gerais;Total;Pública;76,1;11,7;8,3
2016/2017;Espírito Santo;Total;Total;74,8;10,6;9,7
2016/2017;Espírito Santo;Urbana;Total;74,7;10,7;9,6
2016/2017;Espírito Santo;Rural;Total;78;8,8;11,4
2016/2017;Espírito Santo;Total;Privada;91,9;4,3;3
2016/2017;Espírito Santo;Total;Pública;72,3;11,6;10,6
2016/2017;Rio de Janeiro;Total;Total;74;10,7;12,3
2016/2017;Rio de Janeiro;Urbana;Total;73,9;10,7;12,3
2016/2017;Rio de Janeiro;Rural;Total;76,5;9,7;11,1
2016/2017;Rio de Janeiro;Total;Privada;88,4;5;5,1
2016/2017;Rio de Janeiro;Total;Pública;70,2;12,2;14,2
2016/2017;São Paulo;Total;Total;84,4;8,2;6,1
2016/2017;São Paulo;Urbana;Total;84,4;8,2;6,1
2016/2017;São Paulo;Rural;Total;91;3,5;5,2
2016/2017;São Paulo;Total;Privada;95,4;2,9;1,5
2016/2017;São Paulo;Total;Pública;82,6;9,1;6,9
2016/2017;Paraná;Total;Total;78,8;12,2;7,7
2016/2017;Paraná;Urbana;Total;78,6;12,4;7,7
2016/2017;Paraná;Rural;Total;83,2;8,1;8,5
2016/2017;Paraná;Total;Privada;94,8;3,1;1,9
2016/2017;Paraná;Total;Pública;76,3;13,7;8,7
2016/2017;Santa Catarina;Total;Total;79,3;9,5;9,7
2016/2017;Santa Catarina;Urbana;Total;79,1;9,6;9,7
2016/2017;Santa Catarina;Rural;Total;85,9;6,5;7,2
2016/2017;Santa Catarina;Total;Privada;94,2;3,4;1,8
2016/2017;Santa Catarina;Total;Pública;76,9;10,5;10,9
2016/2017;Rio Grande do Sul;Total;Total;70,9;14,6;11,1
2016/2017;Rio Grande do Sul;Urbana;Total;70,7;14,7;11,2
2016/2017;Rio Grande do Sul;Rural;Total;76,8;12,8;9,2
2016/2017;Rio Grande do Sul;Total;Privada;92,9;4;2
2016/2017;Rio Grande do Sul;Total;Pública;68,5;15,8;12,1
2016/2017;Mato Grosso do Sul;Total;Total;73,2;12,2;11,2
2016/2017;Mato Grosso do Sul;Urbana;Total;73,1;12,1;11,2
2016/2017;Mato Grosso do Sul;Rural;Total;74,1;12,9;11,4
2016/2017;Mato Grosso do Sul;Total;Privada;93,7;3,8;1,8
2016/2017;Mato Grosso do Sul;Total;Pública;70,8;13,1;12,3
2016/2017;Mato Grosso;Total;Total;65,7;18;12,2
2016/2017;Mato Grosso;Urbana;Total;65,1;18,4;12,3
2016/2017;Mato Grosso;Rural;Total;71,2;14,2;11,6
2016/2017;Mato Grosso;Total;Privada;92,5;4,3;2,9
2016/2017;Mato Grosso;Total;Pública;63,3;19,2;13,1
2016/2017;Goiás;Total;Total;81,4;5,7;10,3
2016/2017;Goiás;Urbana;Total;81,3;5,7;10,4
2016/2017;Goiás;Rural;Total;84,5;5,9;8,3
2016/2017;Goiás;Total;Privada;92,7;3,1;3,6
2016/2017;Goiás;Total;Pública;79,5;6,2;11,5
2016/2017;Distrito Federal;Total;Total;78,5;9,8;7,6
2016/2017;Distrito Federal;Urbana;Total;78,6;9,8;7,6
2016/2017;Distrito Federal;Rural;Total;77,5;9,3;8,1
2016/2017;Distrito Federal;Total;Privada;92,1;3,3;4,2
2016/2017;Distrito Federal;Total;Pública;73,8;12,1;8,8
