Ano;Unidade Geográfica;Localização;Dependência Administrativa;Taxa de Promoção Total - Ensino Médio;Taxa de Repetência Total - Ensino Médio;Taxa de Evasão Total - Ensino Médio
2018/2019;Tocantins;Total;Pública;79,3;8,6;8,7
2018/2019;Maranhão;Total;Total;78,8;7,4;11,9
2018/2019;Maranhão;Urbana;Total;79,5;7,3;11,4
2018/2019;Maranhão;Rural;Total;75,1;8,1;15,2
2018/2019;Maranhão;Total;Privada;90,2;4;5,2
2018/2019;Maranhão;Total;Pública;78,1;7,6;12,3
2018/2019;Piauí;Total;Total;78,3;8,8;9
2018/2019;Piauí;Urbana;Total;78,6;8,7;8,7
2018/2019;Piauí;Rural;Total;73;10,2;14,4
2018/2019;Piauí;Total;Privada;91,7;4,3;3,2
2018/2019;Piauí;Total;Pública;76,6;9,4;9,7
2018/2019;Ceará;Total;Total;87;3,7;7,8
2018/2019;Ceará;Urbana;Total;87;3,7;7,8
2018/2019;Ceará;Rural;Total;87,8;3,3;8
2018/2019;Ceará;Total;Privada;94,5;2,1;2,4
2018/2019;Ceará;Total;Pública;86,3;3,8;8,3
2018/2019;Rio Grande do Norte;Total;Total;72,2;13,3;11,4
2018/2019;Rio Grande do Norte;Urbana;Total;72;13,4;11,4
2018/2019;Rio Grande do Norte;Rural;Total;77,5;10,5;10,6
2018/2019;Rio Grande do Norte;Total;Privada;90,3;5,1;3,5
2018/2019;Rio Grande do Norte;Total;Pública;69,5;14,5;12,5
2018/2019;Paraíba;Total;Total;74,2;10,1;11,6
2018/2019;Paraíba;Urbana;Total;74,2;10,1;11,6
2018/2019;Paraíba;Rural;Total;73,4;9,4;13,3
2018/2019;Paraíba;Total;Privada;91,8;3,3;4,7
2018/2019;Paraíba;Total;Pública;71,2;11,2;12,8
2018/2019;Pernambuco;Total;Total;85,8;4,8;6,3
2018/2019;Pernambuco;Urbana;Total;86,2;4,6;6,1
2018/2019;Pernambuco;Rural;Total;79,5;8;9
2018/2019;Pernambuco;Total;Privada;92,6;3,7;3,5
2018/2019;Pernambuco;Total;Pública;84,9;4,9;6,6
2018/2019;Alagoas;Total;Total;77;8,4;10,6
2018/2019;Alagoas;Urbana;Total;77;8,4;10,5
2018/2019;Alagoas;Rural;Total;77,1;7;12,2
2018/2019;Alagoas;Total;Privada;90,7;4;4,8
2018/2019;Alagoas;Total;Pública;74,7;9,1;11,5
2018/2019;Sergipe;Total;Total;77,8;10,1;10,5
2018/2019;Sergipe;Urbana;Total;77,9;10;10,4
2018/2019;Sergipe;Rural;Total;75,4;10,9;13,4
2018/2019;Sergipe;Total;Privada;93,2;3;3,6
2018/2019;Sergipe;Total;Pública;74,6;11,5;12
2018/2019;Bahia;Total;Total;72,6;12,9;11,8
2018/2019;Bahia;Urbana;Total;72,4;13;11,8
2018/2019;Bahia;Rural;Total;75,4;10,9;11,5
2018/2019;Bahia;Total;Privada;91,8;4;4,1
2018/2019;Bahia;Total;Pública;70,6;13,8;12,6
2018/2019;Minas Gerais;Total;Total;76,2;8,9;11,8
2018/2019;Minas Gerais;Urbana;Total;76;9;11,9
2018/2019;Minas Gerais;Rural;Total;84,1;5,8;9,2
2018/2019;Minas Gerais;Total;Privada;93,4;3,1;3,1
2018/2019;Minas Gerais;Total;Pública;74,5;9,5;12,7
2018/2019;Espírito Santo;Total;Total;77,3;9,3;8
2018/2019;Espírito Santo;Urbana;Total;77,1;9,3;8,1
2018/2019;Espírito Santo;Rural;Total;82,5;8,9;6,6
2018/2019;Espírito Santo;Total;Privada;93;3,9;2,4
2018/2019;Espírito Santo;Total;Pública;75,2;10;8,8
2018/2019;Rio de Janeiro;Total;Total;77,1;10,8;8,9
2018/2019;Rio de Janeiro;Urbana;Total;77;10,8;8,8
2018/2019;Rio de Janeiro;Rural;Total;79,3;8,3;9,2
2018/2019;Rio de Janeiro;Total;Privada;89,6;4,2;4,7
2018/2019;Rio de Janeiro;Total;Pública;73,8;12,5;10
2018/2019;São Paulo;Total;Total;86,5;5,4;6,5
2018/2019;São Paulo;Urbana;Total;86,5;5,4;6,5
2018/2019;São Paulo;Rural;Total;91,8;2,5;5,3
2018/2019;São Paulo;Total;Privada;96,2;2,1;1,5
2018/2019;São Paulo;Total;Pública;84,7;6;7,4
2018/2019;Paraná;Total;Total;78,9;7,9;12
2018/2019;Paraná;Urbana;Total;78,7;8;12,1
2018/2019;Paraná;Rural;Total;82,6;5,7;11,3
2018/2019;Paraná;Total;Privada;91,9;2,6;5,3
2018/2019;Paraná;Total;Pública;76,9;8,7;13,1
2018/2019;Santa Catarina;Total;Total;80,9;8,4;9,4
2018/2019;Santa Catarina;Urbana;Total;80,7;8,4;9,5
2018/2019;Santa Catarina;Rural;Total;85,8;6,2;7,6
2018/2019;Santa Catarina;Total;Privada;93,2;3,1;3,3
2018/2019;Santa Catarina;Total;Pública;79,1;9,1;10,2
2018/2019;Rio Grande do Sul;Total;Total;68,9;11,3;16,5
2018/2019;Rio Grande do Sul;Urbana;Total;68,7;11,3;16,7
2018/2019;Rio Grande do Sul;Rural;Total;74,8;11,2;12,8
2018/2019;Rio Grande do Sul;Total;Privada;92,5;3,8;2,9
2018/2019;Rio Grande do Sul;Total;Pública;66,3;12,2;18
2018/2019;Mato Grosso do Sul;Total;Total;74,9;10,6;12,5
2018/2019;Mato Grosso do Sul;Urbana;Total;74,9;10,6;12,5
2018/2019;Mato Grosso do Sul;Rural;Total;74,7;10,3;13,7
2018/2019;Mato Grosso do Sul;Total;Privada;94,7;2,9;2
2018/2019;Mato Grosso do Sul;Total;Pública;72,8;11,4;13,7
2018/2019;Mato Grosso;Total;Total;71,7;14,2;10,6
2018/2019;Mato Grosso;Urbana;Total;71,4;14,4;10,7
2018/2019;Mato Grosso;Rural;Total;74,4;13;10,4
2018/2019;Mato Grosso;Total;Privada;94,2;3,2;2,2
2018/2019;Mato Grosso;Total;Pública;69,8;15,2;11,3
2018/2019;Goiás;Total;Total;83,6;4,7;8,1
2018/2019;Goiás;Urbana;Total;83,6;4,7;8,2
2018/2019;Goiás;Rural;Total;85,4;6,1;6,7
2018/2019;Goiás;Total;Privada;91,1;3,5;4,4
2018/2019;Goiás;Total;Pública;82,4;4,9;8,7
2018/2019;Distrito Federal;Total;Total;81,6;7,3;7,2
2018/2019;Distrito Federal;Urbana;Total;81,6;7,3;7,2
2018/2019;Distrito Federal;Rural;Total;82;7,6;6,8
2018/2019;Distrito Federal;Total;Privada;92,9;2,7;3,6
2018/2019;Distrito Federal;Total;Pública;77,9;8,8;8,4
