Ano;Unidade Geográfica;Localização;Dependência Administrativa;Taxa de Promoção Total - Ensino Médio;Taxa de Repetência Total - Ensino Médio;Taxa de Evasão Total - Ensino Médio
2019/2020;Roraima;Urbana;Total;77,3;9;8,9
2019/2020;Roraima;Rural;Total;78;8,4;10,3
2019/2020;Roraima;Total;Privada;94,1;3,6;1,9
2019/2020;Roraima;Total;Pública;76,6;9,2;9,6
2019/2020;Pará;Total;Total;75,3;11,2;11,6
2019/2020;Pará;Urbana;Total;75,3;11,4;11,4
2019/2020;Pará;Rural;Total;75,1;9,7;14,2
2019/2020;Pará;Total;Privada;93;3,1;3,5
2019/2020;Pará;Total;Pública;73,7;11,9;12,4
2019/2020;Amapá;Total;Total;74,5;10,2;10,7
2019/2020;Amapá;Urbana;Total;75,8;9,5;10,1
2019/2020;Amapá;Rural;Total;65,4;14,4;14,5
2019/2020;Amapá;Total;Privada;94,6;1,7;3,1
2019/2020;Amapá;Total;Pública;72,7;10,9;11,4
2019/2020;Tocantins;Total;Total;82,5;8,2;5,9
2019/2020;Tocantins;Urbana;Total;82,5;8;5,9
2019/2020;Tocantins;Rural;Total;82,6;10,1;5,7
2019/2020;Tocantins;Total;Privada;92,7;4,6;1,8
2019/2020;Tocantins;Total;Pública;81,9;8,4;6,1
2019/2020;Maranhão;Total;Total;85,7;4,5;7,9
2019/2020;Maranhão;Urbana;Total;86,4;4,2;7,4
2019/2020;Maranhão;Rural;Total;82;6;10,8
2019/2020;Maranhão;Total;Privada;91,5;3,6;4,3
2019/2020;Maranhão;Total;Pública;85,4;4,6;8,1
2019/2020;Piauí;Total;Total;81,2;8,6;7,3
2019/2020;Piauí;Urbana;Total;81,5;8,5;7
2019/2020;Piauí;Rural;Total;76,7;10,4;11,5
2019/2020;Piauí;Total;Privada;91;3,6;5,1
2019/2020;Piauí;Total;Pública;80;9,2;7,5
2019/2020;Ceará;Total;Total;90,2;3,4;5,4
2019/2020;Ceará;Urbana;Total;90,2;3,4;5,4
2019/2020;Ceará;Rural;Total;91;2,5;5,6
2019/2020;Ceará;Total;Privada;94,8;2,3;2,3
2019/2020;Ceará;Total;Pública;89,8;3,5;5,7
2019/2020;Rio Grande do Norte;Total;Total;74;12,6;10,1
2019/2020;Rio Grande do Norte;Urbana;Total;73,9;12,7;10,1
2019/2020;Rio Grande do Norte;Rural;Total;74,5;10,5;11,9
2019/2020;Rio Grande do Norte;Total;Privada;90,3;5,1;3,4
2019/2020;Rio Grande do Norte;Total;Pública;71,6;13,7;11,1
2019/2020;Paraíba;Total;Total;78,2;10;8
2019/2020;Paraíba;Urbana;Total;78,3;9,9;8
2019/2020;Paraíba;Rural;Total;77,5;10,3;8,6
2019/2020;Paraíba;Total;Privada;90,9;3,7;5,2
2019/2020;Paraíba;Total;Pública;76;11,1;8,5
2019/2020;Pernambuco;Total;Total;87,7;5,1;4,3
2019/2020;Pernambuco;Urbana;Total;88,1;4,9;4,2
2019/2020;Pernambuco;Rural;Total;82,3;8,7;6,1
2019/2020;Pernambuco;Total;Privada;92,1;3,7;4
2019/2020;Pernambuco;Total;Pública;87,2;5,3;4,3
2019/2020;Alagoas;Total;Total;80,2;7,2;8,1
2019/2020;Alagoas;Urbana;Total;79,9;7,3;8,1
2019/2020;Alagoas;Rural;Total;83,9;4,6;7,9
2019/2020;Alagoas;Total;Privada;89,1;4,2;6,2
2019/2020;Alagoas;Total;Pública;78,8;7,7;8,4
2019/2020;Sergipe;Total;Total;78,6;11,8;8
2019/2020;Sergipe;Urbana;Total;78,9;11,6;7,9
2019/2020;Sergipe;Rural;Total;74,5;14,9;9,9
2019/2020;Sergipe;Total;Privada;93,8;3,1;3
2019/2020;Sergipe;Total;Pública;75,5;13,6;9
2019/2020;Bahia;Total;Total;76,4;13,3;7,8
2019/2020;Bahia;Urbana;Total;76,3;13,5;7,7
2019/2020;Bahia;Rural;Total;78,4;11,2;8,4
2019/2020;Bahia;Total;Privada;91;4,7;4,2
2019/2020;Bahia;Total;Pública;74,9;14,2;8,2
2019/2020;Minas Gerais;Total;Total;81,8;9,5;6,2
2019/2020;Minas Gerais;Urbana;Total;81,6;9,7;6,3
2019/2020;Minas Gerais;Rural;Total;89,6;5,9;4,1
2019/2020;Minas Gerais;Total;Privada;93,9;3,1;2,6
2019/2020;Minas Gerais;Total;Pública;80,5;10,2;6,6
2019/2020;Espírito Santo;Total;Total;81,7;7,9;5,9
2019/2020;Espírito Santo;Urbana;Total;81,5;7,9;5,9
2019/2020;Espírito Santo;Rural;Total;86,1;7;5,3
2019/2020;Espírito Santo;Total;Privada;93,3;3,9;2,2
2019/2020;Espírito Santo;Total;Pública;80,1;8,4;6,4
2019/2020;Rio de Janeiro;Total;Total;78,3;12,5;6,4
2019/2020;Rio de Janeiro;Urbana;Total;78,2;12,6;6,4
2019/2020;Rio de Janeiro;Rural;Total;82,7;9,1;5,6
2019/2020;Rio de Janeiro;Total;Privada;91,2;4,2;3,6
2019/2020;Rio de Janeiro;Total;Pública;75;14,6;7,1
2019/2020;São Paulo;Total;Total;89,4;4,7;4,5
2019/2020;São Paulo;Urbana;Total;89,3;4,8;4,5
2019/2020;São Paulo;Rural;Total;93,3;2,6;3,7
2019/2020;São Paulo;Total;Privada;96,5;1,9;1,4
2019/2020;São Paulo;Total;Pública;87,9;5,3;5,1
2019/2020;Paraná;Total;Total;86,8;6,9;5,8
2019/2020;Paraná;Urbana;Total;86,6;7;5,8
2019/2020;Paraná;Rural;Total;90,4;4,1;5,3
2019/2020;Paraná;Total;Privada;92,1;2,6;5,2
2019/2020;Paraná;Total;Pública;85,8;7,6;5,9
2019/2020;Santa Catarina;Total;Total;80,4;10,5;8,2
2019/2020;Santa Catarina;Urbana;Total;80,3;10,5;8,2
2019/2020;Santa Catarina;Rural;Total;85,4;7,9;6,2
2019/2020;Santa Catarina;Total;Privada;93,5;3,2;3
2019/2020;Santa Catarina;Total;Pública;78,6;11,5;8,9
2019/2020;Rio Grande do Sul;Total;Total;76,5;10,6;11
2019/2020;Rio Grande do Sul;Urbana;Total;76,4;10,5;11,1
2019/2020;Rio Grande do Sul;Rural;Total;77,7;12,1;9,3
2019/2020;Rio Grande do Sul;Total;Privada;94,7;2,7;2,1
2019/2020;Rio Grande do Sul;Total;Pública;74;11,7;12,2
2019/2020;Mato Grosso do Sul;Total;Total;77,8;10;10,9
2019/2020;Mato Grosso do Sul;Urbana;Total;78,1;9,9;10,8
2019/2020;Mato Grosso do Sul;Rural;Total;74;12;13
2019/2020;Mato Grosso do Sul;Total;Privada;94,8;3,3;1,5
2019/2020;Mato Grosso do Sul;Total;Pública;75,9;10,8;12
2019/2020;Mato Grosso;Total;Total;69,5;14,9;13,3
2019/2020;Mato Grosso;Urbana;Total;69,3;14,9;13,4
2019/2020;Mato Grosso;Rural;Total;71,4;14,7;12,3
2019/2020;Mato Grosso;Total;Privada;94;2,8;3
2019/2020;Mato Grosso;Total;Pública;67,4;15,9;14,2
2019/2020;Goiás;Total;Total;85,6;5,4;6,6
2019/2020;Goiás;Urbana;Total;85,5;5,4;6,6
2019/2020;Goiás;Rural;Total;87,4;4,7;6,5
2019/2020;Goiás;Total;Privada;92,8;3,1;3,5
2019/2020;Goiás;Total;Pública;84,4;5,8;7,1
2019/2020;Distrito Federal;Total;Total;81,3;8,3;6,8
2019/2020;Distrito Federal;Urbana;Total;81,3;8,3;6,8
2019/2020;Distrito Federal;Rural;Total;82,5;8,7;6,1
2019/2020;Distrito Federal;Total;Privada;91,3;3;5,2
2019/2020;Distrito Federal;Total;Pública;78,3;9,9;7,2
