Ano;Unidade Geográfica;Localização;Dependência Administrativa;Taxa de Promoção Total - Ensino Médio;Taxa de Repetência Total - Ensino Médio;Taxa de Evasão Total - Ensino Médio
2017/2018;Rondônia;Total;Pública;77,7;6,7;9,6
2017/2018;Acre;Total;Total;78,7;10,1;8,3
2017/2018;Acre;Urbana;Total;79;10,5;7,3
2017/2018;Acre;Rural;Total;77,2;8,4;12,4
2017/2018;Acre;Total;Privada;95,2;2,7;1,7
2017/2018;Acre;Total;Pública;77,9;10,5;8,6
2017/2018;Amazonas;Total;Total;81,9;8,3;8,7
2017/2018;Amazonas;Urbana;Total;81,7;8,9;8,3
2017/2018;Amazonas;Rural;Total;82,9;5,3;11,2
2017/2018;Amazonas;Total;Privada;92,5;3,2;4,1
2017/2018;Amazonas;Total;Pública;81,5;8,5;8,9
2017/2018;Roraima;Total;Total;73,7;11,7;10,6
2017/2018;Roraima;Urbana;Total;73;12,5;10,5
2017/2018;Roraima;Rural;Total;76,5;8,2;11,2
2017/2018;Roraima;Total;Privada;94;3,5;2,1
2017/2018;Roraima;Total;Pública;72,3;12,2;11,2
2017/2018;Pará;Total;Total;73,4;11,3;13,2
2017/2018;Pará;Urbana;Total;73,4;11,3;13,2
2017/2018;Pará;Rural;Total;73,4;10,7;14,5
2017/2018;Pará;Total;Privada;93,7;2,8;3,2
2017/2018;Pará;Total;Pública;71,4;12,2;14,2
2017/2018;Amapá;Total;Total;71,8;13,2;10
2017/2018;Amapá;Urbana;Total;73,1;12,2;9,5
2017/2018;Amapá;Rural;Total;62,6;20,2;13,5
2017/2018;Amapá;Total;Privada;95,8;1,8;2
2017/2018;Amapá;Total;Pública;69,8;14,2;10,7
2017/2018;Tocantins;Total;Total;77,5;9,6;9,2
2017/2018;Tocantins;Urbana;Total;77,4;9,5;9,3
2017/2018;Tocantins;Rural;Total;79,1;11,3;7,7
2017/2018;Tocantins;Total;Privada;91,9;4,8;2,2
2017/2018;Tocantins;Total;Pública;76,6;9,9;9,6
2017/2018;Maranhão;Total;Total;81,2;7,3;10,3
2017/2018;Maranhão;Urbana;Total;81,9;7,2;9,7
2017/2018;Maranhão;Rural;Total;77;8,2;14
2017/2018;Maranhão;Total;Privada;90,2;4,1;5,2
2017/2018;Maranhão;Total;Pública;80,6;7,5;10,6
2017/2018;Piauí;Total;Total;78,5;9,1;9,1
2017/2018;Piauí;Urbana;Total;78,8;9;8,8
2017/2018;Piauí;Rural;Total;74;10,4;13,1
2017/2018;Piauí;Total;Privada;90,5;4,3;4,5
2017/2018;Piauí;Total;Pública;77;9,7;9,6
2017/2018;Ceará;Total;Total;85,7;4,4;8,4
2017/2018;Ceará;Urbana;Total;85,6;4,4;8,4
2017/2018;Ceará;Rural;Total;86,8;3,5;8,3
2017/2018;Ceará;Total;Privada;94,1;2,6;2,4
2017/2018;Ceará;Total;Pública;84,8;4,6;9,1
2017/2018;Rio Grande do Norte;Total;Total;71,3;13,4;12
2017/2018;Rio Grande do Norte;Urbana;Total;71,2;13,5;12,1
2017/2018;Rio Grande do Norte;Rural;Total;76,2;11,3;9,4
2017/2018;Rio Grande do Norte;Total;Privada;91;4,5;3,1
2017/2018;Rio Grande do Norte;Total;Pública;68,4;14,8;13,4
2017/2018;Paraíba;Total;Total;74,3;11,1;10,4
2017/2018;Paraíba;Urbana;Total;74,4;11,1;10,4
2017/2018;Paraíba;Rural;Total;70,9;12,7;12,8
2017/2018;Paraíba;Total;Privada;89,8;3,4;6,5
2017/2018;Paraíba;Total;Pública;71,6;12,4;11,1
2017/2018;Pernambuco;Total;Total;84,3;5,5;6,8
2017/2018;Pernambuco;Urbana;Total;84,5;5,3;6,7
2017/2018;Pernambuco;Rural;Total;79,8;8,3;8,7
2017/2018;Pernambuco;Total;Privada;93;3,4;3,3
2017/2018;Pernambuco;Total;Pública;83,2;5,7;7,3
2017/2018;Alagoas;Total;Total;77,7;8,6;10
2017/2018;Alagoas;Urbana;Total;77,7;8,7;10
2017/2018;Alagoas;Rural;Total;78,9;6,5;10,7
2017/2018;Alagoas;Total;Privada;90,9;4,3;4,3
2017/2018;Alagoas;Total;Pública;75,4;9,4;11,1
2017/2018;Sergipe;Total;Total;75,2;11,6;11,1
2017/2018;Sergipe;Urbana;Total;75,3;11,6;11
2017/2018;Sergipe;Rural;Total;73,3;12,8;12,9
2017/2018;Sergipe;Total;Privada;91,6;3,3;4,8
2017/2018;Sergipe;Total;Pública;71,6;13,4;12,4
2017/2018;Bahia;Total;Total;72,9;14,4;9,9
2017/2018;Bahia;Urbana;Total;72,7;14,5;9,9
2017/2018;Bahia;Rural;Total;75,7;12,4;9,7
2017/2018;Bahia;Total;Privada;91;4,7;4,2
2017/2018;Bahia;Total;Pública;71,1;15,4;10,5
2017/2018;Minas Gerais;Total;Total;77,5;10,8;7,9
2017/2018;Minas Gerais;Urbana;Total;77,3;10,9;7,9
2017/2018;Minas Gerais;Rural;Total;86;6,7;6,6
2017/2018;Minas Gerais;Total;Privada;93;3,3;3,1
2017/2018;Minas Gerais;Total;Pública;76;11,6;8,4
2017/2018;Espírito Santo;Total;Total;77,5;9,3;8
2017/2018;Espírito Santo;Urbana;Total;77,3;9,4;8
2017/2018;Espírito Santo;Rural;Total;82,7;7,5;7,6
2017/2018;Espírito Santo;Total;Privada;92,3;4,2;2,9
2017/2018;Espírito Santo;Total;Pública;75,5;10;8,7
2017/2018;Rio de Janeiro;Total;Total;77,5;10,9;8,7
2017/2018;Rio de Janeiro;Urbana;Total;77,4;11;8,7
2017/2018;Rio de Janeiro;Rural;Total;80,6;8,4;8,2
2017/2018;Rio de Janeiro;Total;Privada;89,3;4,9;4,3
2017/2018;Rio de Janeiro;Total;Pública;74,3;12,6;9,9
2017/2018;São Paulo;Total;Total;85,8;6,8;5,8
2017/2018;São Paulo;Urbana;Total;85,7;6,9;5,8
2017/2018;São Paulo;Rural;Total;91,1;2,9;5,5
2017/2018;São Paulo;Total;Privada;95,9;2,3;1,5
2017/2018;São Paulo;Total;Pública;84;7,6;6,6
2017/2018;Paraná;Total;Total;79;11,2;8,5
2017/2018;Paraná;Urbana;Total;78,8;11,4;8,5
2017/2018;Paraná;Rural;Total;83,4;7,4;8,9
2017/2018;Paraná;Total;Privada;94,7;3,1;2
2017/2018;Paraná;Total;Pública;76,6;12,5;9,5
2017/2018;Santa Catarina;Total;Total;81;7,9;9,7
2017/2018;Santa Catarina;Urbana;Total;80,9;7,9;9,7
2017/2018;Santa Catarina;Rural;Total;84,6;5,8;8,5
2017/2018;Santa Catarina;Total;Privada;94;3,1;2,5
2017/2018;Santa Catarina;Total;Pública;79;8,6;10,8
2017/2018;Rio Grande do Sul;Total;Total;69,7;14,2;12,5
2017/2018;Rio Grande do Sul;Urbana;Total;69,5;14,2;12,6
2017/2018;Rio Grande do Sul;Rural;Total;74,6;13,9;9,9
2017/2018;Rio Grande do Sul;Total;Privada;93,4;3,8;1,9
2017/2018;Rio Grande do Sul;Total;Pública;67,1;15,3;13,6
2017/2018;Mato Grosso do Sul;Total;Total;74,7;10,3;12,1
2017/2018;Mato Grosso do Sul;Urbana;Total;74,8;10,3;11,9
2017/2018;Mato Grosso do Sul;Rural;Total;73,4;10,3;14,4
2017/2018;Mato Grosso do Sul;Total;Privada;93,6;3,7;2,1
2017/2018;Mato Grosso do Sul;Total;Pública;72,7;11;13,2
2017/2018;Mato Grosso;Total;Total;69,2;15,1;11,7
2017/2018;Mato Grosso;Urbana;Total;69;15,2;11,7
2017/2018;Mato Grosso;Rural;Total;71,6;14,3;11,6
2017/2018;Mato Grosso;Total;Privada;92,2;4;3,3
2017/2018;Mato Grosso;Total;Pública;67,2;16;12,4
2017/2018;Goiás;Total;Total;85;4,5;6,9
2017/2018;Goiás;Urbana;Total;85;4,5;6,9
2017/2018;Goiás;Rural;Total;86,8;4,7;6,5
2017/2018;Goiás;Total;Privada;91,7;3,5;4
2017/2018;Goiás;Total;Pública;83,8;4,7;7,4
2017/2018;Distrito Federal;Total;Total;77,8;9,7;8
2017/2018;Distrito Federal;Urbana;Total;77,8;9,7;8
2017/2018;Distrito Federal;Rural;Total;77,6;9,4;8,6
2017/2018;Distrito Federal;Total;Privada;91,6;3,9;3,4
2017/2018;Distrito Federal;Total;Pública;73,2;11,6;9,6
